0.9999998 0.0000000
0.9997325 0.0000006
0.9989627 0.0000043
0.9976911 0.0000143
0.9959190 0.0000335
0.9936482 0.0000649
0.9908810 0.0001115
0.9876201 0.0001760
0.9838689 0.0002611
0.9796311 0.0003694
0.9749109 0.0005034
0.9697132 0.0006654
0.9640431 0.0008575
0.9579063 0.0010816
0.9513090 0.0013396
0.9442579 0.0016329
0.9367601 0.0019631
0.9288230 0.0023311
0.9204547 0.0027380
0.9116635 0.0031844
0.9024584 0.0036708
0.8928485 0.0041973
0.8828436 0.0047639
0.8724537 0.0053704
0.8616892 0.0060162
0.8505610 0.0067005
0.8390803 0.0074222
0.8272586 0.0081802
0.8151077 0.0089729
0.8026400 0.0097986
0.7898680 0.0106553
0.7768044 0.0115409
0.7634625 0.0124529
0.7498556 0.0133889
0.7359975 0.0143460
0.7219021 0.0153213
0.7075835 0.0163118
0.6930561 0.0173142
0.6783346 0.0183251
0.6634338 0.0193411
0.6483686 0.0203587
0.6331542 0.0213741
0.6178058 0.0223837
0.6023391 0.0233837
0.5867694 0.0243703
0.5711124 0.0253397
0.5553840 0.0262881
0.5395998 0.0272118
0.5237758 0.0281070
0.5079279 0.0289700
0.4920721 0.0297973
0.4762242 0.0305854
0.4604002 0.0313308
0.4446160 0.0320303
0.4288876 0.0326807
0.4132306 0.0332791
0.3976609 0.0338227
0.3821942 0.0343088
0.3668458 0.0347350
0.3516314 0.0350991
0.3365662 0.0353989
0.3216654 0.0356328
0.3069439 0.0357991
0.2924165 0.0358964
0.2780979 0.0359236
0.2640025 0.0358800
0.2501444 0.0357647
0.2365375 0.0355775
0.2231956 0.0353183
0.2101320 0.0349870
0.1973600 0.0345842
0.1848923 0.0341102
0.1727414 0.0335661
0.1609197 0.0329528
0.1494390 0.0322716
0.1383108 0.0315239
0.1275463 0.0307116
0.1171564 0.0298364
0.1071515 0.0289004
0.0975416 0.0279059
0.0883365 0.0268552
0.0795453 0.0257509
0.0711770 0.0245957
0.0632399 0.0233923
0.0557421 0.0221437
0.0486910 0.0208527
0.0420937 0.0195225
0.0359569 0.0181561
0.0302868 0.0167566
0.0250891 0.0153272
0.0203689 0.0138710
0.0161311 0.0123910
0.0123799 0.0108905
0.0091190 0.0093723
0.0063518 0.0078394
0.0040810 0.0062947
0.0023089 0.0047409
0.0010373 0.0031805
0.0002675 0.0016159
0.0000002 0.0000494
0.0000002 -0.0000494
0.0002675 -0.0016159
0.0010373 -0.0031805
0.0023089 -0.0047409
0.0040810 -0.0062947
0.0063518 -0.0078394
0.0091190 -0.0093723
0.0123799 -0.0108905
0.0161311 -0.0123910
0.0203689 -0.0138710
0.0250891 -0.0153272
0.0302868 -0.0167566
0.0359569 -0.0181561
0.0420937 -0.0195225
0.0486910 -0.0208527
0.0557421 -0.0221437
0.0632399 -0.0233923
0.0711770 -0.0245957
0.0795453 -0.0257509
0.0883365 -0.0268552
0.0975416 -0.0279059
0.1071515 -0.0289004
0.1171564 -0.0298364
0.1275463 -0.0307116
0.1383108 -0.0315239
0.1494390 -0.0322716
0.1609197 -0.0329528
0.1727414 -0.0335661
0.1848923 -0.0341102
0.1973600 -0.0345842
0.2101320 -0.0349870
0.2231956 -0.0353183
0.2365375 -0.0355775
0.2501444 -0.0357647
0.2640025 -0.0358800
0.2780979 -0.0359236
0.2924165 -0.0358964
0.3069439 -0.0357991
0.3216654 -0.0356328
0.3365662 -0.0353989
0.3516314 -0.0350991
0.3668458 -0.0347350
0.3821942 -0.0343088
0.3976609 -0.0338227
0.4132306 -0.0332791
0.4288876 -0.0326807
0.4446160 -0.0320303
0.4604002 -0.0313308
0.4762242 -0.0305854
0.4920721 -0.0297973
0.5079279 -0.0289700
0.5237758 -0.0281070
0.5395998 -0.0272118
0.5553840 -0.0262881
0.5711124 -0.0253397
0.5867694 -0.0243703
0.6023391 -0.0233837
0.6178058 -0.0223837
0.6331542 -0.0213741
0.6483686 -0.0203587
0.6634338 -0.0193411
0.6783346 -0.0183251
0.6930561 -0.0173142
0.7075835 -0.0163118
0.7219021 -0.0153213
0.7359975 -0.0143460
0.7498556 -0.0133889
0.7634625 -0.0124529
0.7768044 -0.0115409
0.7898680 -0.0106553
0.8026400 -0.0097986
0.8151077 -0.0089729
0.8272586 -0.0081802
0.8390803 -0.0074222
0.8505610 -0.0067005
0.8616892 -0.0060162
0.8724537 -0.0053704
0.8828436 -0.0047639
0.8928485 -0.0041973
0.9024584 -0.0036708
0.9116635 -0.0031844
0.9204547 -0.0027380
0.9288230 -0.0023311
0.9367601 -0.0019631
0.9442579 -0.0016329
0.9513090 -0.0013396
0.9579063 -0.0010816
0.9640431 -0.0008575
0.9697132 -0.0006654
0.9749109 -0.0005034
0.9796311 -0.0003694
0.9838689 -0.0002611
0.9876201 -0.0001760
0.9908810 -0.0001115
0.9936482 -0.0000649
0.9959190 -0.0000335
0.9976911 -0.0000143
0.9989627 -0.0000043
0.9997325 -0.0000006
0.9999998 -0.0000000
